Press.bar,Temp.°C,Liquid v_f,Vapor v_g,Liquid u_f,Vapor u_g,Liquid h_f,Evap. h_fg,Vapor h_g,Liquid s_f,Vapor s_g
0.05,-93.28,0.00157,6.752,-114.6,326.0,-114.6,474.4,359.8,-0.556,2.081
0.1,-83.87,0.0015940000000000001,3.542,-95.1,335.4,-95.1,465.9,370.8,-0.45,2.011
0.25,-69.55,0.0016339999999999998,1.513,-64.9,350.0,-64.9,452.7,387.8,-0.297,1.927
0.5,-56.93,0.0016719999999999999,0.7962,-37.7,363.1,-37.6,440.5,402.9,-0.167,1.871
0.75,-48.68,0.0016979999999999999,0.5467,-19.6,371.8,-19.5,432.3,412.8,-0.085,1.841
1.0,-42.38,0.001719,0.4185,-5.6,378.5,-5.4,425.7,420.3,-0.023,1.822
2.0,-25.43,0.0017809999999999998,0.2192,33.1,396.6,33.5,406.9,440.4,0.139,1.782
3.0,-14.16,0.0018260000000000001,0.1496,59.8,408.7,60.3,393.3,453.6,0.244,1.762
4.0,-5.46,0.001865,0.1137,80.8,418.0,81.5,382.0,463.5,0.324,1.751
5.0,1.74,0.001899,0.09172,98.6,425.7,99.5,372.1,471.6,0.389,1.743
6.0,7.93,0.001931,0.0768,114.2,432.2,115.3,363.0,478.3,0.446,1.737
7.0,13.41,0.00196,0.06598,128.2,438.0,129.6,354.6,484.2,0.495,1.733
8.0,18.33,0.0019890000000000003,0.05776,141.0,443.1,142.6,346.7,489.3,0.54,1.729
9.0,22.82,0.002016,0.05129,152.9,447.6,154.7,339.1,493.8,0.58,1.726
10.0,26.95,0.002043,0.04606,164.0,451.8,166.1,331.8,497.9,0.618,1.723
11.0,30.8,0.00207,0.04174,174.5,455.6,176.8,324.7,501.5,0.652,1.721
12.0,34.39,0.002096,0.0381,184.4,459.1,187.0,317.8,504.8,0.685,1.718
13.0,37.77,0.0021219999999999998,0.03499,193.9,462.2,196.7,311.0,507.7,0.716,1.716
14.0,40.97,0.002148,0.03231,203.0,465.2,206.0,304.4,510.4,0.745,1.714
15.0,44.01,0.0021739999999999997,0.02997,211.7,467.9,215.0,297.9,512.9,0.772,1.712
16.0,46.89,0.0022,0.0279,220.1,470.4,223.6,291.4,515.0,0.799,1.71
17.0,49.65,0.002227,0.02606,228.3,472.7,232.0,285.0,517.0,0.824,1.707
18.0,52.3,0.0022530000000000002,0.02441,236.2,474.9,240.2,278.6,518.8,0.849,1.705
19.0,54.83,0.00228,0.02292,243.8,476.9,248.2,272.2,520.4,0.873,1.703
20.0,57.27,0.0023079999999999997,0.02157,251.3,478.7,255.9,265.9,521.8,0.896,1.7
22.0,61.9,0.0023639999999999998,0.01921,265.8,481.7,271.0,253.0,524.0,0.939,1.695
24.0,66.21,0.002424,0.01721,279.7,484.3,285.5,240.1,525.6,0.981,1.688
26.0,70.27,0.002487,0.01549,293.1,486.2,299.6,226.9,526.5,1.021,1.681
28.0,74.1,0.002555,0.01398,306.2,487.5,313.4,213.2,526.6,1.06,1.673
30.0,77.72,0.00263,0.01263,319.2,488.1,327.1,198.9,526.0,1.097,1.664
35.0,86.01,0.002862,0.009771,351.4,486.3,361.4,159.1,520.5,1.19,1.633
40.0,93.38,0.003279,0.007151,387.9,474.7,401.0,102.3,503.3,1.295,1.574
42.48,96.7,0.004535,0.004535,434.9,434.9,454.2,0.0,454.2,1.437,1.437
