Temp.°C,Press.bar,Liquid v_f,Vapor v_g,Liquid u_f,Vapor u_g,Liquid h_f,Evap. h_fg,Vapor h_g,Liquid s_f,Vapor s_g
-100.0,0.02888,0.001553,11.27,-128.4,319.5,-128.4,480.4,352.0,-0.634,2.14
-90.0,0.06426,0.001578,5.345,-107.8,329.3,-107.8,471.4,363.6,-0.519,2.055
-80.0,0.1301,0.001605,2.774,-87.0,339.3,-87.0,462.4,375.4,-0.408,1.986
-70.0,0.2434,0.001633,1.551,-65.8,349.5,-65.8,453.1,387.3,-0.301,1.929
-60.0,0.4261,0.001663,0.9234,-44.4,359.9,-44.3,443.5,399.2,-0.198,1.883
-50.0,0.7046,0.001694,0.5793,-22.5,370.4,-22.4,433.6,411.2,-0.098,1.845
-40.0,1.11,0.001728,0.3798,-0.2,381.0,0.0,423.2,423.2,0.0,1.815
-30.0,1.677,0.0017629999999999998,0.2585,22.6,391.6,22.9,412.1,435.0,0.096,1.791
-20.0,2.444,0.001802,0.1815,45.9,402.4,46.3,400.5,446.8,0.19,1.772
-10.0,3.451,0.0018440000000000002,0.1309,69.8,413.2,70.4,388.0,458.4,0.282,1.757
0.0,4.743,0.00189,0.09653,94.2,423.8,95.1,374.5,469.6,0.374,1.745
4.0,5.349,0.00191,0.08591,104.2,428.1,105.3,368.8,474.1,0.41,1.741
8.0,6.011,0.001931,0.07666,114.3,432.3,115.5,362.9,478.4,0.446,1.737
12.0,6.732,0.001952,0.06858,124.6,436.5,125.9,356.8,482.7,0.482,1.734
16.0,7.515,0.001975,0.06149,135.0,440.7,136.4,350.5,486.9,0.519,1.731
20.0,8.362,0.001999,0.05525,145.4,444.8,147.1,343.9,491.0,0.555,1.728
24.0,9.278,0.002024,0.04973,156.1,448.9,158.0,337.0,495.0,0.591,1.725
28.0,10.27,0.0020499999999999997,0.04483,166.9,452.9,169.0,329.9,498.9,0.627,1.722
32.0,11.33,0.002078,0.04048,177.8,456.7,180.2,322.4,502.6,0.663,1.72
36.0,12.47,0.002108,0.03659,188.9,460.6,191.6,314.6,506.2,0.699,1.717
40.0,13.69,0.00214,0.0331,200.2,464.3,203.1,306.5,509.6,0.736,1.715
44.0,15.0,0.0021739999999999997,0.02997,211.7,467.9,214.9,298.0,512.9,0.772,1.712
48.0,16.4,0.002211,0.02714,223.4,471.4,227.0,288.9,515.9,0.809,1.709
52.0,17.89,0.00225,0.02459,235.3,474.6,239.3,279.3,518.6,0.846,1.705
56.0,19.47,0.0022930000000000003,0.02227,247.4,477.7,251.9,269.2,521.1,0.884,1.701
60.0,21.16,0.00234,0.02015,259.8,480.6,264.8,258.4,523.2,0.921,1.697
65.0,23.42,0.002406,0.01776,275.7,483.6,281.4,243.8,525.2,0.969,1.69
70.0,25.86,0.002483,0.0156,292.3,486.1,298.7,227.7,526.4,1.018,1.682
75.0,28.49,0.0025729999999999998,0.01363,309.5,487.8,316.8,209.8,526.6,1.069,1.671
80.0,31.31,0.0026829999999999996,0.01182,327.6,488.2,336.0,189.2,525.2,1.122,1.657
85.0,34.36,0.002827,0.01011,347.2,486.9,356.9,164.7,521.6,1.178,1.638
90.0,37.64,0.003038,0.008415,369.4,482.2,380.8,133.1,513.9,1.242,1.608
95.0,41.19,0.0034879999999999998,0.006395,399.8,467.4,414.2,79.5,493.7,1.33,1.546
96.7,42.48,0.004535,0.004535,434.9,434.9,454.2,0.0,454.2,1.437,1.437
